,load_kw,pv_kw_raw,price_import_gbp_per_kwh,price_export_gbp_per_kwh,ambient_c,cell_temp_c,carbon_intensity,soc,pch,pdis,pimp,pexp,pv_kw_eff,deg_cost_pv
2024-09-19 10:30:00,0.4871678631174858,0.3886119436505717,0.21,0.0735,24.999907397361905,34.84996867154028,0.2,0.95,0.0,0.0,0.11655123881875246,0.0,0.3706166242987333,0.000944754265971516
2024-09-19 10:45:00,0.5136961963474217,0.3909330519456259,0.21,0.0735,24.999907397361905,34.9088012918543,0.2,0.95,0.0,0.0,0.1409573906492031,0.0,0.3727388056982186,0.0009551979279888825
2024-09-19 11:00:00,0.5982383858161452,0.3928355393368514,0.21,0.0735,24.999907397361905,34.95702322039537,0.1855291427061512,0.95,0.0,0.0,0.2237609715292217,0.0,0.3744774142869235,0.0009638015651212146
2024-09-19 11:15:00,0.4953670046388755,0.3943173685930978,0.21,0.0735,24.999907397361905,34.994582819914584,0.1855291427061512,0.95,0.0,0.0,0.11953593410767455,0.0,0.37583107053120096,0.0009705306482495837
2024-09-19 11:30:00,0.52721497182737,0.3953769529344815,0.21,0.0735,24.999907397361905,35.021439870652,0.1855291427061512,0.95,0.0,0.0,0.15041626966564048,0.0,0.3767987021617295,0.0009753581655694795
2024-09-19 11:45:00,0.6152564486028448,0.3960131577315504,0.21,0.0735,24.999907397361905,35.03756561340501,0.1855291427061512,0.95,0.0,0.0,0.23787690489575725,0.0,0.37737954370708754,0.0009782647362842991
2024-09-19 12:00:00,0.537922426556107,0.3962253017202722,0.21,0.0735,24.999907397361905,35.042942780324346,0.17,0.95,0.0,0.0,0.16034929040097062,0.0,0.3775731361551364,0.0009792386921696308
2024-09-19 12:15:00,0.4351702683017148,0.3960131577315504,0.21,0.0735,24.999907397361905,35.03756561340501,0.17,0.95,0.0,0.0,0.05779094155417375,0.0,0.37737932674754104,0.0009782761266604902
2024-09-19 12:30:00,0.4556648868020591,0.3953769529344815,0.21,0.0735,24.999907397361905,35.021439870652,0.17,0.95,0.0,0.0,0.07886661789143395,0.0,0.3767982689106251,0.0009753809112524595
2024-09-19 12:45:00,0.5067224055904261,0.3943173685930978,0.21,0.0735,24.999907397361905,34.994582819914584,0.17,0.95,0.0,0.0,0.13089198326679063,0.0,0.3758304223236355,0.0009705646791467702
2024-09-19 13:00:00,0.515335065193159,0.3928355393368515,0.21,0.0735,24.999907397361905,34.95702322039537,0.1544708572938488,0.95,0.0,0.0,0.14085851206981753,0.0,0.37447655312334144,0.0009638467762092784
2024-09-19 13:15:00,0.4685346492775813,0.3909330519456259,0.21,0.0735,24.999907397361905,34.9088012918543,0.1544708572938488,0.95,0.0,0.0,0.09579691503581317,0.0,0.37273773424176815,0.0009552541794525313
2024-09-19 13:30:00,0.5038820865328587,0.3886119436505717,0.21,0.0735,24.999907397361905,34.84996867154028,0.1544708572938488,0.95,0.0,0.0,0.1332667406611177,0.0,0.370615345871741,0.000944821383388613
2024-09-19 13:45:00,0.5151024410132706,0.3858746999525888,0.21,0.0735,24.999907397361905,34.78058835889674,0.1544708572938488,0.95,0.0,0.0,0.14699136496044413,0.0,0.3681110760528265,0.0009325902547375192
2024-09-19 14:00:00,0.4926524650504947,0.3827242519607893,0.21,0.0735,24.999907397361905,34.70073464810025,0.14,0.95,0.0,0.0,0.1274255436822891,0.0,0.3652269213682056,0.0009186098561106432
2024-09-19 14:15:00,0.4689990925129048,0.379163973253793,0.21,0.0735,24.999907397361905,34.61049304850444,0.14,0.95,0.0,0.0,0.10703390477189867,0.0,0.3619651877410061,0.0009029362394213103
2024-09-19 14:30:00,0.6018919488563954,0.3751976762672147,0.21,0.0735,24.999907397361905,34.509960193074456,0.14,0.95,0.0,0.0,0.2435634575397197,0.0,0.3583284913166757,0.0008856322099032955
2024-09-19 14:45:00,0.590350652322222,0.3708296082112123,0.21,0.0735,24.999907397361905,34.39924373490998,0.14,0.95,0.0,0.0,0.23603089290612478,0.0,0.35431975941609717,0.0008667670617435445
2024-09-19 15:00:00,0.424047743091797,0.3660644465224686,0.21,0.0735,24.999907397361905,34.27846223196755,0.1275735931288071,0.95,0.0,0.0,0.07410551154944939,0.0,0.3499422315423476,0.0008464162864563529
2024-09-19 15:15:00,0.5589944703164562,0.3609072938554741,0.21,0.0735,24.999907397361905,34.14774502010578,0.1275735931288071,0.95,0.0,0.0,0.21379500989416922,0.0,0.345199460422287,0.0008246612552423228
2024-09-19 15:30:00,0.621846704294815,0.3553636726184772,0.21,0.0735,24.999907397361905,34.00723207458922,0.1275735931288071,0.95,0.0,0.0,0.2817513912322691,0.0,0.3400953130625459,0.0008015888766863908
2024-09-19 15:45:00,0.6816762821580278,0.3494395190599509,0.21,0.0735,24.999907397361905,33.85707386019941,0.1275735931288071,0.95,0.0,0.0,0.3470423103600596,0.0,0.33463397179796817,0.0007772912312540939
2024-09-19 16:00:00,0.8360142890505375,0.3431411769119098,0.21,0.0735,24.999907397361905,33.697431170113354,0.1180384757729337,0.95,0.0,0.5071943537413757,0.0,0.0,0.3288199353091619,0.0007518651841442643
2024-09-19 16:15:00,1.0406656649414718,0.336475390596882,0.21,0.0735,24.999907397361905,33.528474953722224,0.1180384757729337,0.9233055603294013,0.0,0.7180076453569366,0.0,0.0,0.32265801958453516,0.0007254119781482076
2024-09-19 16:30:00,0.6166907196712321,0.3294492980058137,0.21,0.0735,24.999907397361905,33.35038613357443,0.1180384757729337,0.8855156842579834,0.0,0.3005373608701964,0.0,0.0,0.31615335880103573,0.0006980368082508424
2024-09-19 16:45:00,0.8858003093526206,0.3220704228546356,0.21,0.0735,24.999907397361905,33.1633554116392,0.1180384757729337,0.86969792842271,0.0,0.5764889032558241,0.0,0.0,0.3093114060967964,0.0006698483797865576
2024-09-19 17:00:00,0.9084161220963322,0.3143466666276804,0.39,0.1364999999999999,24.999907397361905,32.96758306509822,0.1120444504226559,0.8393564071987193,0.0,0.606278187888325,0.0,0.0,0.3021379342080072,0.0011903514109181355
2024-09-19 17:15:00,0.9291692874820776,0.3062863001165748,0.39,0.1364999999999999,24.999907397361905,32.76327873188371,0.1120444504226559,0.8074470288888074,0.0,0.6345302515404792,0.0,0.0,0.2946390359415985,0.0011356082570601895
2024-09-19 17:30:00,1.0287507979559627,0.2978979545636691,0.39,0.1364999999999999,24.999907397361905,32.55066118619294,0.1120444504226559,0.7740506998603611,0.0,0.7419296735012277,0.0,0.0,0.28682112445473495,0.0010799909356210768
2024-09-19 17:45:00,1.034741268998104,0.2891906124194865,0.39,0.1364999999999999,24.999907397361905,32.32995810421934,0.1120444504226559,0.735001769676086,0.0,0.7560503356864205,0.0,0.0,0.2786909333116833,0.0010237187130108115
2024-09-19 18:00:00,1.0286394623828237,0.2801735977240903,0.39,0.1364999999999999,24.999907397361905,32.10140582035108,0.11,0.6952096467452218,0.0,0.7583839460944801,0.0,0.0,0.2702555162883435,0.0009670129399853125
2024-09-19 18:15:00,1.0937298926521142,0.2708565661226677,0.39,0.1364999999999999,24.999907397361905,31.86524907409835,0.11,0.6552947022139335,0.0,0.8322076457575033,0.0,0.0,0.2615222468946109,0.0009100961247355356
2024-09-19 18:30:00,1.166569920023248,0.2612494945260236,0.39,0.1364999999999999,24.999907397361905,31.621740748020105,0.11,0.6114942998056438,0.0,0.9140711024384648,0.0,0.0,0.2524988175847832,0.0008531910017709367
2024-09-19 18:45:00,1.184270976003486,0.2513626704270548,0.39,0.1364999999999999,24.999907397361905,31.37114159693114,0.11,0.5633852944141456,0.0,0.9410777373770608,0.0,0.0,0.24319323862642514,0.000796519600561391
2024-09-19 19:00:00,1.18295938593774,0.2412066808846445,0.39,0.1364999999999999,24.999907397361905,31.113719968679263,0.1120444504226559,0.513854887183774,0.0,0.9493455493392671,0.0,0.0,0.23361383659847296,0.0007403023179017258
